
Reading data for 3600 seconds:
Time;airTMP;soilTMP;airHUM;soilHUM;light
0;24.1;22.3;23.0;85.9;20.3;
1;24.1;22.3;23.4;83.5;20.6;
2;24.1;22.3;23.2;84.8;19.4;
3;24.2;22.3;23.4;86.0;18.8;
4;24.2;22.4;23.3;87.1;17.5;
5;24.2;22.4;23.1;84.0;20.2;
6;24.2;22.3;23.6;83.5;23.1;
7;24.2;22.2;23.1;83.2;22.9;
8;24.2;22.2;23.0;83.2;23.3;
9;24.2;22.1;23.2;83.1;17.5;
10;24.2;22.1;22.8;83.3;13.9;
11;24.2;22.1;23.0;83.5;13.2;
12;24.2;22.1;23.2;83.5;15.2;
13;24.2;22.1;23.2;85.0;13.2;
14;24.2;22.2;22.7;84.4;13.6;
15;24.2;22.2;23.3;84.5;14.0;
16;24.2;22.3;22.9;84.7;12.7;
17;24.2;22.3;22.5;84.4;8.8;
18;24.2;22.3;22.7;84.6;11.3;
19;24.2;22.4;22.7;84.0;10.1;
20;24.2;22.3;22.1;84.0;11.2;
21;24.2;22.3;22.1;84.1;12.3;
22;24.1;22.1;22.4;84.1;13.6;
23;24.1;22.0;21.7;83.9;13.1;
24;24.0;21.7;21.5;83.9;14.3;
25;23.8;21.4;21.2;84.8;14.3;
26;23.7;21.1;20.7;83.9;17.1;
27;23.6;20.9;20.6;84.1;18.1;
28;23.5;20.6;20.2;84.3;18.2;
29;23.3;20.4;19.7;84.6;17.9;
30;23.1;20.3;19.1;84.6;18.2;
31;22.9;20.1;19.2;84.7;17.8;
32;22.7;20.0;18.9;84.8;17.9;
33;22.5;19.9;18.6;84.8;17.5;
34;22.3;19.9;18.2;84.8;17.2;
35;22.1;19.9;18.0;85.2;16.7;
36;21.9;19.8;18.0;85.1;17.0;
37;21.7;19.9;17.7;85.0;17.5;
38;21.5;19.9;17.4;84.9;16.8;
39;21.3;19.9;16.9;84.9;17.0;
40;21.0;20.0;17.3;84.8;15.9;
41;20.8;20.1;16.4;84.6;16.7;
42;20.6;20.2;16.2;85.3;17.0;
43;20.4;20.3;16.0;81.5;17.4;
44;20.2;20.4;16.0;80.2;18.7;
45;20.1;20.6;15.8;80.2;19.4;
46;19.9;20.7;15.4;80.1;19.8;
47;19.7;20.8;15.2;80.2;19.9;
48;19.5;21.0;14.3;80.2;19.9;
49;19.3;21.1;14.1;80.1;19.9;
50;19.1;21.2;13.9;80.1;19.9;
51;18.9;21.4;13.8;80.1;19.8;
52;18.7;21.5;13.5;80.1;20.1;
53;18.5;21.7;13.4;80.1;20.2;
54;18.3;21.8;13.4;80.0;20.2;
55;18.1;22.0;13.1;80.1;20.1;
56;18.0;22.2;13.4;80.1;20.2;
57;17.8;22.4;13.5;80.0;20.5;
58;17.6;22.6;13.0;80.0;20.2;
59;17.5;22.8;12.8;80.0;20.1;
60;17.3;22.9;12.5;80.0;21.0;
61;17.2;23.1;12.4;80.0;20.1;
62;17.0;23.3;12.5;80.0;20.2;
63;16.9;23.5;12.2;80.0;20.2;
64;16.8;23.7;11.8;79.9;20.2;
65;16.6;23.9;11.8;79.9;20.1;
66;16.5;24.1;11.8;79.9;20.2;
67;16.4;24.3;11.6;79.9;20.1;
68;16.2;24.5;11.5;79.9;20.2;
69;16.1;24.7;11.2;79.9;20.1;
70;16.0;24.9;11.3;79.8;20.5;
71;15.9;25.1;11.3;79.8;20.5;
72;15.7;25.3;11.2;79.8;20.6;
73;15.6;25.5;10.8;79.8;20.5;
74;15.5;25.7;10.7;79.8;20.5;
75;15.4;25.9;10.5;79.8;20.3;
