Reading data until stopped:
Time;airTMP;soilTMP;airHUM;soilHUM;light
0;18.2;19.4;32.5;99.3;2.6;
1;18.2;19.4;33.1;99.2;1.9;
2;18.2;19.3;33.6;99.2;2.6;
3;18.2;19.3;33.9;99.3;1.5;
4;18.2;19.6;34.3;99.3;2.6;
5;18.2;19.4;34.2;99.3;1.9;
6;18.2;19.4;34.4;99.3;2.6;
7;18.2;19.2;34.4;99.3;2.2;
8;18.2;19.3;34.3;99.3;2.9;
9;18.2;19.2;34.2;99.3;2.3;
10;18.2;19.2;34.1;99.3;3.0;
11;18.2;19.4;33.9;99.2;2.9;
12;18.2;19.3;33.8;99.3;3.7;
13;18.2;19.4;33.6;99.2;3.1;
14;18.2;19.3;33.4;99.3;3.5;
15;18.2;19.6;33.3;99.2;3.0;
16;18.2;19.1;33.1;99.2;3.4;
17;18.2;19.6;33.0;99.2;3.0;
18;18.2;19.6;32.8;99.2;3.5;
19;18.2;19.3;32.7;99.2;3.1;
20;18.2;19.5;32.5;99.2;3.5;
21;18.2;19.4;32.4;99.2;3.1;
22;18.2;19.7;32.3;99.2;3.7;
23;18.2;19.5;32.3;99.2;3.1;
24;18.2;19.4;32.2;99.2;3.7;
25;18.2;19.6;32.1;99.2;3.1;
26;18.2;19.3;32.1;99.2;3.7;
27;18.2;19.2;32.0;99.3;3.1;
28;18.2;19.3;31.9;99.3;3.7;
29;18.2;19.3;31.8;99.2;3.1;
30;18.2;19.3;31.8;99.3;3.8;
31;18.2;19.4;31.7;99.3;3.1;
32;18.2;19.2;31.6;99.2;3.7;
33;18.2;19.2;31.5;99.3;3.3;
34;18.2;19.5;31.4;99.3;3.7;
35;18.2;19.5;31.3;99.3;3.1;
36;18.2;19.7;31.2;99.3;3.7;
37;18.2;19.4;31.0;99.3;3.1;
38;18.2;19.4;31.0;99.3;3.5;
39;18.2;19.4;30.9;99.3;3.0;
40;18.2;19.7;30.8;99.3;3.7;
41;18.2;19.2;30.7;99.3;3.1;
42;18.2;19.4;30.5;99.3;3.7;
43;18.2;19.3;30.5;99.3;3.1;
44;18.2;19.4;30.4;99.3;3.7;
45;18.2;19.6;30.3;99.3;3.3;
46;18.2;19.5;30.2;99.2;3.7;
47;18.2;19.4;30.1;99.3;3.3;
48;18.2;19.3;30.1;99.3;3.7;
49;18.2;19.3;30.0;99.3;3.1;
50;18.2;19.8;29.9;99.3;3.7;
51;18.2;19.3;29.9;99.3;3.3;
52;18.2;19.7;29.8;99.3;3.7;
53;18.2;19.6;29.7;99.3;3.1;
54;18.2;19.5;29.7;99.3;3.8;
55;18.2;19.6;29.6;99.3;3.1;
56;18.2;19.6;29.6;99.3;3.7;
57;18.2;19.7;29.5;99.2;3.1;
58;18.2;19.6;29.5;99.3;3.7;
